,Elementary flow,CF
0,"('1,1,1,2-Tetrafluoroethane', ('air',))",1550.0
1,"('1,1,1,2-Tetrafluoroethane', ('air', 'urban air close to ground'))",1550.0
2,"('1,1,1-Trichloroethane', ('air',))",193.0
3,"('1,1,1-Trichloroethane', ('air', 'urban air close to ground'))",193.0
4,"('1,1,1-Trifluoroethane', ('air', 'low population density, long-term'))",5510.0
5,"('1,1,1-Trifluoroethane', ('air', 'non-urban air or from high stacks'))",5510.0
6,"('1,1,1-Trifluoroethane', ('air',))",5510.0
7,"('1,1,1-Trifluoroethane', ('air', 'urban air close to ground'))",5510.0
8,"('1,1,2-Trichloro-1,2,2-trifluoroethane', ('air',))",6590.0
9,"('1,1,2-Trichloro-1,2,2-trifluoroethane', ('air', 'urban air close to ground'))",6590.0
10,"('1,1-Dichloro-1-fluoroethane', ('air',))",938.0
11,"('1,1-Dichloro-1-fluoroethane', ('air', 'urban air close to ground'))",938.0
12,"('1,1-Difluoroethane', ('air', 'low population density, long-term'))",167.0
13,"('1,1-Difluoroethane', ('air', 'non-urban air or from high stacks'))",167.0
14,"('1,1-Difluoroethane', ('air',))",167.0
15,"('1,1-Difluoroethane', ('air', 'urban air close to ground'))",167.0
16,"('1,2-Dichloro-1,1,2,2-tetrafluoroethane', ('air', 'low population density, long-term'))",9620.0
17,"('1,2-Dichloro-1,1,2,2-tetrafluoroethane', ('air', 'non-urban air or from high stacks'))",9620.0
18,"('1,2-Dichloro-1,1,2,2-tetrafluoroethane', ('air',))",9620.0
19,"('1,2-Dichloro-1,1,2,2-tetrafluoroethane', ('air', 'urban air close to ground'))",9620.0
20,"('1-Chloro-1,1-difluoroethane', ('air', 'low population density, long-term'))",2350.0
21,"('1-Chloro-1,1-difluoroethane', ('air', 'non-urban air or from high stacks'))",2350.0
22,"('1-Chloro-1,1-difluoroethane', ('air',))",2350.0
23,"('1-Chloro-1,1-difluoroethane', ('air', 'urban air close to ground'))",2350.0
24,"('2,2-Dichloro-1,1,1-trifluoroethane', ('air',))",96.0
25,"('2,2-Dichloro-1,1,1-trifluoroethane', ('air', 'urban air close to ground'))",96.0
26,"('2-Chloro-1,1,1,2-tetrafluoroethane', ('air', 'low population density, long-term'))",635.0
27,"('2-Chloro-1,1,1,2-tetrafluoroethane', ('air', 'non-urban air or from high stacks'))",635.0
28,"('2-Chloro-1,1,1,2-tetrafluoroethane', ('air',))",635.0
29,"('2-Chloro-1,1,1,2-tetrafluoroethane', ('air', 'urban air close to ground'))",635.0
30,"('Bromochlorodifluoromethane', ('air', 'low population density, long-term'))",2070.0
31,"('Bromochlorodifluoromethane', ('air', 'non-urban air or from high stacks'))",2070.0
32,"('Bromochlorodifluoromethane', ('air',))",2070.0
33,"('Bromochlorodifluoromethane', ('air', 'urban air close to ground'))",2070.0
34,"('Bromomethane', ('air',))",3.0
